sample_id,first_failure_stage,failure_reason_code,oracle_variant,oracle_if_bypassed_correct,system_bypass_recoverable,causal_interpretation,abstention_reason
final_archeology_025,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_026,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_029,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_031,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_033,verification,CONFLICT_WRONG_UPDATE_COLUMNS,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_035,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_036,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_040,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_041,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_042,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_047,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_048,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,verification_reject
final_archeology_049,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_050,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_055,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,0,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_056,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
final_archeology_057,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,1,SYSTEM_LEVEL_BYPASS_ONLY,grounding_failure
