sample_id,source_group,legacy_payload_hash,D_payload_hash,changed
aug_seed_000238_small_batch_subset_001,seed_000238,88c4e2d04ec0795d74832349c10a41e47834426067de46c37eb8e8d8ec98721b,88c4e2d04ec0795d74832349c10a41e47834426067de46c37eb8e8d8ec98721b,0
aug_seed_000119_single_row_subset_002,seed_000119,4af66297a5304d3b3751702c24356114dfb8667f6c5a3a2c4bf0136da6378fbd,4af66297a5304d3b3751702c24356114dfb8667f6c5a3a2c4bf0136da6378fbd,0
aug_seed_000089_single_row_subset_001,seed_000089,655ddf633f11566ad72848111a3100d0c29e71e0252842bf95f5224101a25131,655ddf633f11566ad72848111a3100d0c29e71e0252842bf95f5224101a25131,0
aug_seed_000282_single_row_subset_001,seed_000282,a77e3c0d3868122afda1b455f86ac8ef6ea2feccd0f646ca0fb2e6fef5c01c11,a77e3c0d3868122afda1b455f86ac8ef6ea2feccd0f646ca0fb2e6fef5c01c11,0
aug_seed_000020_relational_format_variant_002,seed_000020,4c3285bce54483a409fb3a47d5c82bdca70d983917e201d2ddbd16a8339d4fd9,4c3285bce54483a409fb3a47d5c82bdca70d983917e201d2ddbd16a8339d4fd9,0
seed_000219,seed_000219,aca02d44a8bc2289a4a045e8710e2a8d44bbbb6d821debf9a24f67a0aaf58f21,aca02d44a8bc2289a4a045e8710e2a8d44bbbb6d821debf9a24f67a0aaf58f21,0
aug_seed_000202_relational_format_variant_003,seed_000202,4a9fff18164ed968cc8d0c4835db8bd7e49e0ccd7d27f42b93e7bb2a61e7a7b8,4a9fff18164ed968cc8d0c4835db8bd7e49e0ccd7d27f42b93e7bb2a61e7a7b8,0
aug_seed_000044_single_row_subset_001,seed_000044,f51b5a97e9140cac209377bb4af36ae7ccda6f4c8be1f2165940212207e25b24,f51b5a97e9140cac209377bb4af36ae7ccda6f4c8be1f2165940212207e25b24,0
aug_seed_000261_small_batch_subset_001,seed_000261,6f1a36753ab0bde481d81734c68e0f6d877f00860d6196a08b288d126a9224a5,6f1a36753ab0bde481d81734c68e0f6d877f00860d6196a08b288d126a9224a5,0
aug_seed_000069_single_row_subset_001,seed_000069,ab950b287f4c734d9d95e2c92c42c38e5e870b504b422c18925ed98d5d2ca517,ab950b287f4c734d9d95e2c92c42c38e5e870b504b422c18925ed98d5d2ca517,0
aug_seed_000139_small_batch_subset_001,seed_000139,6aa40c33cfa148db32411d4f02275131d6148328b8e2893c4b3041c546854805,6aa40c33cfa148db32411d4f02275131d6148328b8e2893c4b3041c546854805,0
aug_seed_000137_small_batch_subset_001,seed_000137,e56381db4ed4688c1e2b0e942185db5155dc8778cab2f3241bd15c2dbe521a65,e56381db4ed4688c1e2b0e942185db5155dc8778cab2f3241bd15c2dbe521a65,0
aug_seed_000218_small_batch_subset_001,seed_000218,b636beffc5e9ab650d8b4d348061801f0e46ee0727b464d680b7024e44504914,b636beffc5e9ab650d8b4d348061801f0e46ee0727b464d680b7024e44504914,0
aug_seed_000025_single_row_subset_001,seed_000025,da58df16fdde42331735b7e4d97927d51cae9154fa4488c8089c192a4df75192,da58df16fdde42331735b7e4d97927d51cae9154fa4488c8089c192a4df75192,0
aug_seed_000002_relational_format_variant_001,seed_000002,22744c349c31e5254ba46291578238ad609f7f51e3861d712f93780d0f6f8df4,22744c349c31e5254ba46291578238ad609f7f51e3861d712f93780d0f6f8df4,0
aug_seed_000049_relational_format_variant_003,seed_000049,f1e42fb5e9f47e8cfd2ea2e9bbb5c841610431ef001d4537cb7baf62e5e44f47,f1e42fb5e9f47e8cfd2ea2e9bbb5c841610431ef001d4537cb7baf62e5e44f47,0
aug_seed_000031_small_batch_subset_001,seed_000031,0b9d2a66d4b055c39f9c2fa24403fe8d4810701af60f07539c5cff272657b921,0b9d2a66d4b055c39f9c2fa24403fe8d4810701af60f07539c5cff272657b921,0
seed_000061,seed_000061,3b6953467f6e9d0748fd9ce7210b1575996e4898d646c8de4ffbe0c59ecbc78b,3b6953467f6e9d0748fd9ce7210b1575996e4898d646c8de4ffbe0c59ecbc78b,0
aug_seed_000311_single_row_subset_001,seed_000311,25df71e33a3b9906846e7d2fb142d5a11b6d58afbbc6436ce4c9d98319d569e9,25df71e33a3b9906846e7d2fb142d5a11b6d58afbbc6436ce4c9d98319d569e9,0
aug_seed_000309_relational_format_variant_001,seed_000309,08974bc01bb965c46d4e6ae98b1cf3c8cd488a1eaee8f5d79e5833232700602e,08974bc01bb965c46d4e6ae98b1cf3c8cd488a1eaee8f5d79e5833232700602e,0
aug_seed_000316_single_row_subset_001,seed_000316,0024243d441f27ad49f64d4673e20ccd9ab4343128fbb63291d7afa19f89a330,0024243d441f27ad49f64d4673e20ccd9ab4343128fbb63291d7afa19f89a330,0
seed_000312,seed_000312,45659f46777c633ed8a9e7e60066f6dfebdd6f352b06211800c279e305b8a7c0,45659f46777c633ed8a9e7e60066f6dfebdd6f352b06211800c279e305b8a7c0,0
aug_seed_000130_single_row_subset_001,seed_000130,a48b1721eed839eacfbbe1d15116f5092b885a089ed851be7bcfa8ea9a79192c,a48b1721eed839eacfbbe1d15116f5092b885a089ed851be7bcfa8ea9a79192c,0
seed_000072,seed_000072,b99e050b499ef3fca7ccb30f9663ae52e3a2317bba174560bd0aa0a2127ff8d3,b99e050b499ef3fca7ccb30f9663ae52e3a2317bba174560bd0aa0a2127ff8d3,0
aug_seed_000343_small_batch_subset_001,seed_000343,dd65623c03f254b49ddf0907a3afa5222b65ca79595169d85b87ba45cedb2543,dd65623c03f254b49ddf0907a3afa5222b65ca79595169d85b87ba45cedb2543,0
