method_slug,subgroup_type,subgroup_value,n,target_state_accuracy,strict_full_state_accuracy,coverage,accepted_output_accuracy,false_accept_count
d_g1_primary,database,student_club,55,0.4727272727272727,0.4727272727272727,0.5454545454545454,0.8666666666666667,4
d_g1_primary,database,superhero,36,0.3888888888888889,0.3888888888888889,0.4166666666666667,0.9333333333333333,1
d_g1_primary,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
d_g1_primary,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0
d_g1_primary,dependency_sensitive,0,259,0.3590733590733591,0.3590733590733591,0.4092664092664093,0.8773584905660378,13
d_g1_primary,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.17073170731707318,0.8571428571428571,1
d_only_secondary,input_type,free_text,111,0.22522522522522523,0.22522522522522523,0.27927927927927926,0.8064516129032258,6
d_only_secondary,input_type,semi_structured,189,0.3915343915343915,0.3915343915343915,0.43386243386243384,0.9024390243902439,8
d_only_secondary,operation_type,insert_ignore,198,0.32323232323232326,0.32323232323232326,0.36363636363636365,0.8888888888888888,8
d_only_secondary,operation_type,plain_insert,77,0.37662337662337664,0.37662337662337664,0.4155844155844156,0.90625,3
d_only_secondary,operation_type,upsert_update,25,0.24,0.24,0.36,0.6666666666666666,3
d_only_secondary,database,california_schools,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0,0
d_only_secondary,database,card_games,12,0.25,0.25,0.5,0.5,3
d_only_secondary,database,codebase_community,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0
d_only_secondary,database,debit_card_specializing,36,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.7692307692307693,3
d_only_secondary,database,european_football_2,31,0.5806451612903226,0.5806451612903226,0.5806451612903226,1.0,0
d_only_secondary,database,financial,62,0.2903225806451613,0.2903225806451613,0.3225806451612903,0.9,2
d_only_secondary,database,formula_1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0
d_only_secondary,database,student_club,55,0.4727272727272727,0.4727272727272727,0.5454545454545454,0.8666666666666667,4
d_only_secondary,database,superhero,36,0.3888888888888889,0.3888888888888889,0.4166666666666667,0.9333333333333333,1
d_only_secondary,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
d_only_secondary,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0
d_only_secondary,dependency_sensitive,0,259,0.3590733590733591,0.3590733590733591,0.4092664092664093,0.8773584905660378,13
d_only_secondary,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.17073170731707318,0.8571428571428571,1
full_secondary,input_type,free_text,111,0.22522522522522523,0.22522522522522523,0.27927927927927926,0.8064516129032258,6
full_secondary,input_type,semi_structured,189,0.41798941798941797,0.41798941798941797,0.4603174603174603,0.9080459770114943,8
full_secondary,operation_type,insert_ignore,198,0.32323232323232326,0.32323232323232326,0.36363636363636365,0.8888888888888888,8
full_secondary,operation_type,plain_insert,77,0.44155844155844154,0.44155844155844154,0.4805194805194805,0.918918918918919,3
full_secondary,operation_type,upsert_update,25,0.24,0.24,0.36,0.6666666666666666,3
full_secondary,database,california_schools,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0,0
full_secondary,database,card_games,12,0.25,0.25,0.5,0.5,3
full_secondary,database,codebase_community,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0
full_secondary,database,debit_card_specializing,36,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.7692307692307693,3
full_secondary,database,european_football_2,31,0.5806451612903226,0.5806451612903226,0.5806451612903226,1.0,0
full_secondary,database,financial,62,0.3548387096774194,0.3548387096774194,0.3870967741935484,0.9166666666666666,2
full_secondary,database,formula_1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0
full_secondary,database,student_club,55,0.4909090909090909,0.4909090909090909,0.5636363636363636,0.8709677419354839,4
full_secondary,database,superhero,36,0.3888888888888889,0.3888888888888889,0.4166666666666667,0.9333333333333333,1
full_secondary,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
full_secondary,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0
full_secondary,dependency_sensitive,0,259,0.3783783783783784,0.3783783783783784,0.42857142857142855,0.8828828828828829,13
full_secondary,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.17073170731707318,0.8571428571428571,1
no_c_secondary,input_type,free_text,111,0.22522522522522523,0.22522522522522523,0.27927927927927926,0.8064516129032258,6
no_c_secondary,input_type,semi_structured,189,0.41798941798941797,0.41798941798941797,0.4603174603174603,0.9080459770114943,8
no_c_secondary,operation_type,insert_ignore,198,0.32323232323232326,0.32323232323232326,0.36363636363636365,0.8888888888888888,8
no_c_secondary,operation_type,plain_insert,77,0.44155844155844154,0.44155844155844154,0.4805194805194805,0.918918918918919,3
no_c_secondary,operation_type,upsert_update,25,0.24,0.24,0.36,0.6666666666666666,3
no_c_secondary,database,california_schools,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0,0
no_c_secondary,database,card_games,12,0.25,0.25,0.5,0.5,3
no_c_secondary,database,codebase_community,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0
no_c_secondary,database,debit_card_specializing,36,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.7692307692307693,3
no_c_secondary,database,european_football_2,31,0.5806451612903226,0.5806451612903226,0.5806451612903226,1.0,0
no_c_secondary,database,financial,62,0.3548387096774194,0.3548387096774194,0.3870967741935484,0.9166666666666666,2
no_c_secondary,database,formula_1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0
no_c_secondary,database,student_club,55,0.4909090909090909,0.4909090909090909,0.5636363636363636,0.8709677419354839,4
no_c_secondary,database,superhero,36,0.3888888888888889,0.3888888888888889,0.4166666666666667,0.9333333333333333,1
no_c_secondary,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
no_c_secondary,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0
no_c_secondary,dependency_sensitive,0,259,0.3783783783783784,0.3783783783783784,0.42857142857142855,0.8828828828828829,13
no_c_secondary,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.17073170731707318,0.8571428571428571,1
